course_number,title,credit_hours,description,prerequisites,corequisites,level,cross_listings,source_url,source,conflict,conflict_note,credit_min,credit_max,division,department,college,restrictions,course_attributes,core_attributes,term_effective,first_term_listed,first_term_name,last_term_listed,last_term_name,terms_listed_count,currently_listed,catalog_nd_edu_match
CSE 60239,Simulation & Modeling,3,"Computer techniques for simulating the behavior of physical, biological, engineering, and social systems, including both natural and artificial systems. Applications include scientific enquiry, engineering design, manufacturing planning, training, entertainment, and games. Topics include animation, visualization, and graphical analysis of results.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=200910,banner,Y,2 catalog versions of CSE 60239 differ by title (term_effective 200520),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200520,200520,Spring Semester 2006 (View Only),200910,Fall Semester 2009 (View Only),16,N,
CSE 60239,Computer Simulation,3,"Computer techniques for simulating the behavior of physical, biological, engineering, and social systems, including both natural and artificial systems. Applications include scientific enquiry, engineering design, manufacturing planning, training, entertainment, and games. Topics include animation, visualization, and graphical analysis of results.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201500,banner,Y,2 catalog versions of CSE 60239 differ by title (term_effective 200920),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200920,200920,Spring Semester 2010 (View Only),201500,Summer Session 2015 (View Only),23,N,
CSE 60243,Compilers,3,"An introduction to the fundamental techniques and tools used in compiler construction. Topics include high-level language specification via context-free grammars; lexical analysis; parsing techniques such as top-down, bottom-up, and LR parsing; run-time environments; and code generation.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201600,banner,Y,2 catalog versions of CSE 60243 differ by title/description (term_effective 200810),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200810,200810,Fall Semester 2008 (View Only),201600,Summer Session 2016 (View Only),32,N,
CSE 60243,Compilers and Language Design,3,"An introduction to the design and implementation of computer languages. Students will design and implement a compiler from scratch for a new language, while learning about tradeoffs between usability, performance, and complexity in language design. Specific topics include scanning, parsing, grammar classes, type systems, garbage collection, translation, and code generation. A significant amount of software development is required and students will gain considerable experience in software engineering practices.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 60243 differ by title/description (term_effective 201610),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201610,201610,Fall Semester 2016 (View Only),202610,Fall Semester 2026,35,Y,
CSE 60246,Database Concepts,3,"Effective techniques in managing, retrieving and updating information from a database system. Focusing primarily on relational databases, the course presents the entity-relationship model, query processing, and normalization. Topics such as relational calculus and algebra, integrity constraints, distributed databases, and data security will also be discussed. A final project will consist of the design and the implementation of a database system with a Web interface.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202120,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,"Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Fields of Study (Major, Minor or Concentration): Computer Science & Engineering (CSE) Must be enrolled in one of the following Campuses: Main (M)",,,201110,201110,Fall Semester 2011 (View Only),202120,Spring Semester 2022 (View Only),40,N,
CSE 60277,Applied Pattern Recognition,3,"Pattern recognition is defined as the assignment of a label to a given value. Pattern recognition techniques are used in a number of applications, including biometrics, document analysis, image analysis, and event classification. This course will introduce the fundamentals of pattern recognition with a primary focus on statistical based techniques and their application to various problem domains. Methods for analyzing multi-dimensional data of different types and scales along with algorithms for projection, dimensionality reduction, clustering, and classification of data will be discussed. The overall goals of this course are to understand the process of pattern recognition as well as the limitations of various methods. The course objectives include to provide students with the scientific foundations needed to design, implement, and evaluate an automated pattern classification system. Prior experience with Matlab is assumed.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202100,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201320,201320,Spring Semester 2014 (View Only),202100,Summer Session 2021 (View Only),29,N,
CSE 60296,Advanced Wireless Networking,3,"The focus of this course will be to explore a complete stack view of the key challenges associated with wireless networks across a variety of contexts including: wireless fundamentals, historical and contemporary wireless standards, WiFi, cellular, low power, and device-to-device / ad hoc networks. The course will explore seminal and contemporary research papers with a focus on the systems and performance aspects of wireless networking. The course will culminate in experimentally-focused research projects utilizing wireless technologies.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202420,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201920,201920,Spring Semester 2020 (View Only),202420,Spring Semester 2025 (View Only),17,N,
CSE 60314,Computational Thinking for the Biological Sciences,3,"As interdisciplinary research continues to be important, biology and computer science will work together. These collaborations benefit if there is a shared body of knowledge. This course is designed as a primer for several areas of computational science. Pattern recognition, computational simulation and informatics will be introduced along with other, important topics.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201720,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201210,201210,Fall Semester 2012 (View Only),201720,Spring Semester 2018 (View Only),24,N,
CSE 60317,Online Alg. for Comp. Fin.,3,,,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201150,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200620,200620,Spring Semester 2007 (View Only),201150,Year 2011-12 (View Only),22,N,
CSE 60321,Advanced Computer Architecture,3,"Classic high-performance computer architectures are considered along with standard parameters for their evaluation. Characteristics that improve performance are introduced. Various forms of parallel processing with specific implementation examples are given. More recent architectural advances are discussed, such as power-away, Fault Tolerance, and others. (Spring)",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200400,200500,Summer Session 2005 (View Only),202610,Fall Semester 2026,80,Y,
